country;region;year;decile;share
Argentina;EPHC;2022;d1;2,0275685
Argentina;EPHC;2022;d10;30,002224
Argentina;EPHC;2022;d10;29,808938
Argentina;EPHC;2022;d2;3,3210618
Argentina;EPHC;2022;d2;3,4355813
Argentina;EPHC;2022;d3;4,4262755
Argentina;EPHC;2022;d3;4,5149968
Argentina;EPHC;2022;d4;5,5222483
Argentina;EPHC;2022;d4;5,6071794
Argentina;EPHC;2022;d5;6,8075876
Argentina;EPHC;2022;d5;6,84779
Argentina;EPHC;2022;d6;8,316731
Argentina;EPHC;2022;d6;8,3266114
Argentina;EPHC;2022;d7;10,187717
Argentina;EPHC;2022;d7;10,112032
Argentina;EPHC;2022;d8;12,659264
Argentina;EPHC;2022;d8;12,571898
Argentina;EPHC;2022;d9;16,764257
Argentina;EPHC;2022;d9;16,747404
Argentina;EPHC;2022;ratio_10_1;15,055362
Argentina;EPHC;2022;ratio_10_1;14,69807
Argentina;EPHC;2023;d1;2,0
Argentina;EPHC;2023;d1;1,9
Argentina;EPHC;2023;d10;30,6
Argentina;EPHC;2023;d10;31,0
Argentina;EPHC;2023;d2;3,3
Argentina;EPHC;2023;d2;3,2
Argentina;EPHC;2023;d3;4,4
Argentina;EPHC;2023;d3;4,2
Argentina;EPHC;2023;d4;5,5
Argentina;EPHC;2023;d4;5,4
Argentina;EPHC;2023;d5;6,7
Argentina;EPHC;2023;d5;6,7
Argentina;EPHC;2023;d6;8,2
Argentina;EPHC;2023;d6;8,2
Argentina;EPHC;2023;d7;10,1
Argentina;EPHC;2023;d7;10,1
Argentina;EPHC;2023;d8;12,6
Argentina;EPHC;2023;d8;12,6
Argentina;EPHC;2023;d9;16,6
Argentina;EPHC;2023;d9;16,8
Argentina;EPHC;2023;ratio_10_1;15,3
Argentina;EPHC;2023;ratio_10_1;16,0
Argentina;EPHC;2024;d1;1,9
Argentina;EPHC;2024;d10;32,6
Argentina;EPHC;2024;d2;3,1
Argentina;EPHC;2024;d3;4,1
Argentina;EPHC;2024;d4;5,2
Argentina;EPHC;2024;d5;6,5
Argentina;EPHC;2024;d6;7,9
Argentina;EPHC;2024;d7;9,8
Argentina;EPHC;2024;d8;12,4
Argentina;EPHC;2024;d9;16,5
Argentina;EPHC;2024;ratio_10_1;17,1
Argentina;Greater Buenos Aires;1974;d1;2,7611895
Argentina;Greater Buenos Aires;1974;d10;26,289913
Argentina;Greater Buenos Aires;1974;d2;4,3649983
Argentina;Greater Buenos Aires;1974;d3;5,3508406
Argentina;Greater Buenos Aires;1974;d4;6,4833217
Argentina;Greater Buenos Aires;1974;d5;7,5959854
Argentina;Greater Buenos Aires;1974;d6;8,9100294
Argentina;Greater Buenos Aires;1974;d7;10,362015
Argentina;Greater Buenos Aires;1974;d8;12,340915
Argentina;Greater Buenos Aires;1974;d9;15,540792
Argentina;Greater Buenos Aires;1974;ratio_10_1;9,5131269
Argentina;Greater Buenos Aires;1980;d1;2,2459946
Argentina;Greater Buenos Aires;1980;d10;29,190651
Argentina;Greater Buenos Aires;1980;d2;3,6767023
Argentina;Greater Buenos Aires;1980;d3;4,7217088
Argentina;Greater Buenos Aires;1980;d4;5,821022
Argentina;Greater Buenos Aires;1980;d5;6,994885
Argentina;Greater Buenos Aires;1980;d6;8,3502827
Argentina;Greater Buenos Aires;1980;d7;10,039063
Argentina;Greater Buenos Aires;1980;d8;12,493534
Argentina;Greater Buenos Aires;1980;d9;16,466156
Argentina;Greater Buenos Aires;1980;ratio_10_1;12,982631
Argentina;Greater Buenos Aires;1986;d1;2,050431
Argentina;Greater Buenos Aires;1986;d10;32,000813
Argentina;Greater Buenos Aires;1986;d2;3,4125609
Argentina;Greater Buenos Aires;1986;d3;4,3999538
Argentina;Greater Buenos Aires;1986;d4;5,5370584
Argentina;Greater Buenos Aires;1986;d5;6,6591172
Argentina;Greater Buenos Aires;1986;d6;7,9712129
Argentina;Greater Buenos Aires;1986;d7;9,7023401
Argentina;Greater Buenos Aires;1986;d8;12,03399
Argentina;Greater Buenos Aires;1986;d9;16,232521
Argentina;Greater Buenos Aires;1986;ratio_10_1;15,585423
Argentina;Greater Buenos Aires;1987;d1;1,7326196
Argentina;Greater Buenos Aires;1987;d10;34,103092
Argentina;Greater Buenos Aires;1987;d2;3,0745974
Argentina;Greater Buenos Aires;1987;d3;4,1448684
