country;region;year;indicator;value
Argentina;28 main cities;2013;headcount_national_USD3.65;2,0724904
Argentina;28 main cities;2013;headcount_national_USD6.85;8,459913
Argentina;28 main cities;2013;headcount_national_USD6.85;8,5561448
Argentina;28 main cities;2013;headcount_urban_USD2.15;0,57604997
Argentina;28 main cities;2013;headcount_urban_USD2.15;0,66667513
Argentina;28 main cities;2013;headcount_urban_USD3.65;1,7986918
Argentina;28 main cities;2013;headcount_urban_USD3.65;2,0724904
Argentina;28 main cities;2013;headcount_urban_USD6.85;8,459913
Argentina;28 main cities;2013;headcount_urban_USD6.85;8,5561448
Argentina;28 main cities;2014;headcount_national_USD2.15;0,75273476
Argentina;28 main cities;2014;headcount_national_USD2.15;0,60477946
Argentina;28 main cities;2014;headcount_national_USD3.65;2,2810838
Argentina;28 main cities;2014;headcount_national_USD3.65;2,1338771
Argentina;28 main cities;2014;headcount_national_USD6.85;9,5416007
Argentina;28 main cities;2014;headcount_national_USD6.85;9,4713284
Argentina;28 main cities;2014;headcount_urban_USD2.15;0,75273476
Argentina;28 main cities;2014;headcount_urban_USD2.15;0,60477946
Argentina;28 main cities;2014;headcount_urban_USD3.65;2,2810838
Argentina;28 main cities;2014;headcount_urban_USD3.65;2,1338771
Argentina;28 main cities;2014;headcount_urban_USD6.85;9,5416007
Argentina;28 main cities;2014;headcount_urban_USD6.85;9,4713284
Argentina;28 main cities;2015;headcount_national_USD2.15;0,69125251
Argentina;28 main cities;2015;headcount_national_USD3.65;1,8951412
Argentina;28 main cities;2015;headcount_national_USD6.85;8,8148994
Argentina;28 main cities;2015;headcount_urban_USD2.15;0,69125251
Argentina;28 main cities;2015;headcount_urban_USD3.65;1,8951412
Argentina;28 main cities;2015;headcount_urban_USD6.85;8,8148994
Argentina;28 main cities;2016;headcount_national_USD2.15;0,69688519
Argentina;28 main cities;2016;headcount_national_USD3.65;2,3062365
Argentina;28 main cities;2016;headcount_national_USD6.85;9,214451
Argentina;28 main cities;2016;headcount_urban_USD2.15;0,69688519
Argentina;28 main cities;2016;headcount_urban_USD3.65;2,3062365
Argentina;28 main cities;2016;headcount_urban_USD6.85;9,214451
Argentina;28 main cities;2017;headcount_national_USD2.15;0,86587734
Argentina;28 main cities;2017;headcount_national_USD2.15;0,60379631
Argentina;28 main cities;2017;headcount_national_USD3.65;2,9989571
Argentina;28 main cities;2017;headcount_national_USD3.65;2,362767
Argentina;28 main cities;2017;headcount_national_USD6.85;9,8183251
Argentina;28 main cities;2017;headcount_national_USD6.85;8,2481136
Argentina;28 main cities;2017;headcount_urban_USD2.15;0,86587734
Argentina;28 main cities;2017;headcount_urban_USD2.15;0,60379631
Argentina;28 main cities;2017;headcount_urban_USD3.65;2,9989571
Argentina;28 main cities;2017;headcount_urban_USD3.65;2,362767
Argentina;28 main cities;2017;headcount_urban_USD6.85;9,8183251
Argentina;28 main cities;2017;headcount_urban_USD6.85;8,2481136
Argentina;28 main cities;2018;headcount_national_USD2.15;0,72146148
Argentina;28 main cities;2018;headcount_national_USD2.15;1,0443243
Argentina;28 main cities;2018;headcount_national_USD3.65;2,0877115
Argentina;28 main cities;2018;headcount_national_USD3.65;2,8698449
Argentina;28 main cities;2018;headcount_national_USD6.85;8,6670124
Argentina;28 main cities;2018;headcount_national_USD6.85;10,352661
Argentina;28 main cities;2018;headcount_urban_USD2.15;0,72146148
Argentina;28 main cities;2018;headcount_urban_USD2.15;1,0443243
Argentina;28 main cities;2018;headcount_urban_USD3.65;2,0877115
Argentina;28 main cities;2018;headcount_urban_USD3.65;2,8698449
Argentina;28 main cities;2018;headcount_urban_USD6.85;8,6670124
